customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00026,Female,0,No,No,26,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),89.87,2230.86,No
CUST-00027,Female,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),116.4,1010.91,No
CUST-00028,Female,0,No,Yes,58,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Credit card (automatic),66.77,4301.69,No
CUST-00029,Female,0,No,No,14,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.22,1123.98,No
CUST-00030,Female,0,No,Yes,71,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),50.55,3585.58,Yes
CUST-00031,Male,0,Yes,Yes,39,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,100.23,3420.23,No
CUST-00032,Male,0,Yes,No,31,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,72.55,2204.83,No
CUST-00033,Female,0,Yes,Yes,50,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),56.05,2426.9,No
CUST-00034,Female,0,No,No,16,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),29.96,485.28,No
CUST-00035,Female,0,Yes,Yes,72,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),107.88,6777.28,No
CUST-00036,Male,0,No,Yes,51,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,98.79,5405.12,Yes
CUST-00037,Female,1,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,39.08,519.49,Yes
CUST-00038,Male,0,No,Yes,38,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),106.2, ,No
CUST-00039,Male,1,Yes,Yes,71,Yes,No,DSL,No,No,No,No,No,No,One year,No,Electronic check,74.26,4960.8,No
CUST-00040,Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,95.69,6293.39,Yes
CUST-00041,Male,0,No,Yes,21,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,83.7,1993.78,No
CUST-00042,Male,0,Yes,Yes,16,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),25.3,435.79,No
CUST-00043,Female,0,No,No,67,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),43.25,3115.54,No
CUST-00044,Female,0,Yes,Yes,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,60.74,3819.53,No
CUST-00045,Female,0,Yes,No,13,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,29.47,409.46,No
CUST-00046,Female,0,No,Yes,64,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),55.71,3555.43,No
CUST-00047,Female,1,No,Yes,61,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),21.87,1319.84,No
CUST-00048,Male,0,Yes,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,107.05,3751.72,No
CUST-00049,Female,0,No,No,12,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,22.59,258.64,No
CUST-00050,Female,0,No,Yes,41,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,73.36,2637.91,No
CUST-00051,Male,0,No,No,66,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),87.55,4996.82,No
CUST-00052,Female,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),47.68,420.97,No
CUST-00053,Male,0,Yes,Yes,59,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,18.46,1186.47,No
CUST-00054,Female,1,No,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,73.92,1877.99,Yes
CUST-00055,Male,0,No,Yes,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),64.98,309.82,No
CUST-00056,Female,0,No,No,45,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),37.03,1534.04,No
CUST-00057,Female,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,27.51,60.46,Yes
CUST-00058,Male,0,Yes,No,42,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),98.43,3657.08,Yes
CUST-00059,Male,0,No,No,38,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,37.85,1588.98,No
CUST-00060,Male,0,Yes,No,3,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),60.96,172.05,Yes
CUST-00061,Male,0,Yes,Yes,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,97.43,4104.95,No
CUST-00062,Male,0,Yes,No,22,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),110.25,2737.67,No
CUST-00063,Male,0,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,58.3,1862.48,No
CUST-00064,Male,0,Yes,No,32,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),65.07,2366.06,No
CUST-00065,Male,0,No,No,17,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Mailed check,89.66,1590.08,No
CUST-00066,Female,0,No,No,56,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,33.64,1943.32,No
CUST-00067,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),102.64,296.97,No
CUST-00068,Male,1,Yes,No,70,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Electronic check,45.59,2962.13,No
CUST-00069,Female,1,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,60.08,2596.41,Yes
CUST-00070,Female,0,No,No,55,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,112.56,6352.7,No
CUST-00071,Female,0,No,Yes,31,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Mailed check,115.75,3103.97,No
CUST-00072,Female,0,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),61.81,1261.22,No
CUST-00073,Male,0,No,No,16,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Electronic check,45.27,802.3,No
CUST-00074,Female,1,No,No,17,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,32.03,611.7,No
CUST-00075,Male,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),33.88,33.19,No
CUST-00076,Female,1,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,69.53,4781.77,No
CUST-00077,Female,1,Yes,No,65,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,87.17,5693.82,No
CUST-00078,Female,0,No,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,54.72,3181.35,No
CUST-00079,Male,0,Yes,No,37,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,42.27,1380.28,Yes
CUST-00080,Female,0,No,No,24,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,18.56,383.87,No
CUST-00081,Male,1,Yes,No,62,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),47.44,3270.29,Yes
CUST-00082,Female,0,No,Yes,21,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),81.54,1864.23,No
CUST-00083,Male,1,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),92.72,3182.65,No
CUST-00084,Female,0,Yes,Yes,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,100.13,3703.12,No
CUST-00085,Male,0,No,Yes,38,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,70.73,3002.77,No
CUST-00086,Male,1,Yes,No,53,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),110.95,6433.97,Yes
CUST-00087,Female,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,97.57,1328.54,No
CUST-00088,Male,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,97.29,3837.2,Yes
CUST-00089,Female,0,No,No,4,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,20.0,74.83,No
CUST-00090,Female,0,No,No,39,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,23.16,888.57,No
CUST-00091,Female,0,No,No,23,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),95.17,2177.46,No
CUST-00092,Female,0,Yes,No,15,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),48.75,684.73,No
CUST-00093,Female,1,No,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),46.64,618.61,No
CUST-00094,Female,1,Yes,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,47.98,2918.0,No
CUST-00095,Female,0,No,Yes,54,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,93.82,5089.64,No
CUST-00096,Female,0,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),86.36,3139.94,Yes
CUST-00097,Female,0,No,No,28,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),23.23,710.25,Yes
CUST-00098,Female,0,No,No,19,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,97.78,2106.61,No
CUST-00099,Female,1,No,Yes,69,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,62.24,3793.86,No
CUST-00100,Male,0,No,No,64,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),92.66,5838.74,No
CUST-00101,Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,113.38,441.27,Yes
CUST-00102,Female,0,No,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,82.22,704.0,No
CUST-00103,Female,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,86.84,1155.04,Yes
CUST-00104,Female,0,Yes,No,69,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,52.38,3299.55,No
CUST-00105,Female,0,Yes,Yes,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,80.77,495.26,Yes
CUST-00106,Female,0,Yes,No,44,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),90.27,4456.8,Yes
CUST-00107,Female,0,Yes,No,23,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,44.46,957.12,Yes
CUST-00108,Female,0,No,No,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,51.53,104.82,Yes
CUST-00109,Female,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,27.27,1028.77,No
CUST-00110,Male,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,No,Mailed check,95.25,7557.42,No
CUST-00111,Female,0,No,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,81.36,1786.05,Yes
CUST-00112,Male,0,Yes,Yes,44,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),56.84,2299.4,No
CUST-00113,Female,0,No,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,71.83,5195.63,No
CUST-00114,Female,0,No,Yes,51,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,86.33,3774.7,No
CUST-00115,Male,0,No,No,31,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,36.67,1163.2,No
CUST-00116,Female,1,No,No,41,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,86.3,3990.0,Yes
CUST-00117,Male,1,Yes,Yes,58,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Electronic check,81.41,4127.13,No
CUST-00118,Female,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,83.34,366.84,Yes
CUST-00119,Female,1,Yes,No,33,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),50.93,1449.99,Yes
CUST-00120,Male,0,No,No,43,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),33.41,1466.96,No
CUST-00121,Female,0,Yes,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),57.56,1044.32,No
CUST-00122,Male,0,Yes,Yes,32,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Electronic check,27.7,775.9,No
CUST-00123,Female,0,Yes,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,34.68,95.8,Yes
CUST-00124,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,73.92,82.91,No
CUST-00125,Male,0,Yes,Yes,41,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),111.25,4334.36,No
CUST-00126,Female,0,No,No,48,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,40.64,1750.73,No
CUST-00127,Female,0,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),72.18,2716.29,No
CUST-00128,Male,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,34.13,161.62,Yes
CUST-00129,Female,1,Yes,No,11,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),72.21,832.35,No
CUST-00130,Female,0,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),94.08,1911.41,Yes
CUST-00131,Female,0,No,No,64,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),99.94,5448.15,No
CUST-00132,Male,0,Yes,No,12,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),88.57,1141.72,No
CUST-00133,Male,0,Yes,No,53,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,38.6,2047.32,No
CUST-00134,Male,0,No,No,55,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),63.44,3187.13,No
CUST-00135,Male,0,Yes,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,100.37,5193.76,No
CUST-00136,Male,0,Yes,Yes,21,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),92.16,1909.69,No
CUST-00137,Male,0,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,98.94,2109.04,No
CUST-00138,Male,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),27.8,1640.53,No
CUST-00139,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,91.38,7427.86,No
CUST-00140,Male,0,Yes,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,62.78,3566.89,Yes
CUST-00141,Female,0,Yes,No,59,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,54.12,3659.62,No
CUST-00142,Male,0,No,Yes,49,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,34.5,1693.57,No
CUST-00143,Female,0,Yes,No,59,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,42.18,2445.99,No
CUST-00144,Female,1,No,No,23,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),78.57,1931.44,No
CUST-00145,Female,1,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,88.82,228.7,No
CUST-00146,Male,1,No,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,72.99,4496.06,No
CUST-00147,Male,0,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),115.25,7494.05,No
CUST-00148,Male,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,37.04,1996.4,No
CUST-00149,Male,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,75.99,1355.03,Yes
CUST-00150,Female,0,No,No,61,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Electronic check,92.91,5426.08,No
CUST-00151,Male,0,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,42.41,1681.4,No
CUST-00152,Male,0,Yes,Yes,54,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),22.61,1316.3,No
CUST-00153,Male,1,No,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,42.23,2822.13,No
CUST-00154,Male,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.94,290.29,No
CUST-00155,Male,1,Yes,No,5,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,64.3,337.6,No
CUST-00156,Female,0,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,22.65,1403.22,No
CUST-00157,Male,0,Yes,No,1,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,93.77,95.6,Yes
CUST-00158,Female,0,Yes,No,63,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,108.75,6456.64,No
CUST-00159,Male,0,No,No,67,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,50.49,3330.46,No
CUST-00160,Female,0,Yes,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,77.3,1748.06,No
CUST-00161,Male,0,No,Yes,43,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,101.25,4678.63,No
CUST-00162,Male,0,Yes,No,42,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,44.63,1718.66,No
CUST-00163,Female,0,No,Yes,69,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),89.31,5407.59,No
CUST-00164,Female,1,No,Yes,39,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Mailed check,108.19,3673.81,Yes
CUST-00165,Female,0,No,No,62,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),87.26,5981.23,No
CUST-00166,Male,1,No,No,48,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),86.61,4575.96,No
CUST-00167,Female,0,Yes,Yes,6,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,29.0,164.58,No
CUST-00168,Male,0,No,No,42,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,34.18,1225.31,No
CUST-00169,Male,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),77.16,4376.52,No
CUST-00170,Female,0,No,Yes,43,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,37.38,1527.78,No
CUST-00171,Female,0,No,No,10,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),65.2,579.17,No
CUST-00172,Male,0,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),105.7,3748.77,No
CUST-00173,Male,0,No,No,13,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,113.81,1524.47,No
CUST-00174,Female,0,Yes,No,39,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,59.74,2482.65,No
CUST-00175,Female,0,No,No,11,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,33.41,375.37,No
